,D00,D10,D20,D40,background
D00,0.16648168701442842,0.0011098779134295228,0.00776914539400666,0.0011098779134295228,0.8235294117647058
D10,0.004016064257028112,0.09036144578313253,0.0,0.0,0.9056224899598394
D20,0.017632241813602016,0.0,0.49370277078085645,0.010075566750629723,0.47858942065491183
D40,0.0027548209366391185,0.0,0.0027548209366391185,0.07713498622589532,0.9173553719008265
background,0.31865042174320524,0.13683223992502344,0.40487347703842547,0.13964386129334583,0.0
