model,imgsz,status,preprocessing,epochs,map50,map50_95,precision,recall,f1,fps,latency_mean_ms,latency_median_ms,latency_p95_ms,params_m,flops_g,model_size_mb,ram_delta_mb,ram_peak_mb,weights_path,predictions_json,notes
yolov8n,320,ok,resize,30,0.21721707918914693,0.08974466813367395,0.0670348581584528,0.09835216973725448,0.07972842600698117,66.32988525303168,15.076160559983691,11.69674549987576,44.67849449999903,3.006428,1.0110528,5.920145034790039,-3112.15234375,6632.96484375,/content/road_damage_framework/runs/yolov8n_320/weights/best.pt,/content/road_damage_framework/predictions/yolov8n_320_test_preds.json,
mobilenetv3_ssdlite,320,ok,resize,30,0.1263827931673926,0.044104193427457306,0.03108114868384915,0.061683172073219876,0.041334508918631774,26.04439578026191,38.39597617994514,26.15594600001714,145.37582720004139,3.7589,0.53353308,14.638459205627441,0.0,3482.578125,/content/road_damage_framework/runs/mobilenetv3_ssdlite_320/best.pt,/content/road_damage_framework/predictions/mobilenetv3_ssdlite_320_test_preds.json,
efficientdet_lite0,320,ok,resize,30,0.03892953640464326,0.013726440999564197,0.009179436303795698,0.02340513620908096,0.013186973702633789,37.92209125854801,26.36985373992502,16.112596999846573,112.26622815001974,3.026152,0.756032,11.813511848449707,0.09765625,3585.2890625,/content/road_damage_framework/runs/efficientdet_lite0_320/efficientdet_lite0_colab.pt,/content/road_damage_framework/predictions/efficientdet_lite0_320_test_preds.json,Adapter Colab funcional com backbone EfficientNet-Lite0 e cabeça densa leve.
nanodet_plus,320,ok,resize,30,0.003209222907402403,0.0018263597197290405,0.0009779595786591625,0.0007123691857698571,0.0008242986468389962,44.18681641278801,22.631184619822307,10.634706000018923,128.42059234953922,0.16988,0.318048,0.7034025192260742,0.0,3545.46484375,/content/road_damage_framework/runs/nanodet_plus_320/nanodet_plus_lite_colab.pt,/content/road_damage_framework/predictions/nanodet_plus_320_test_preds.json,
