,D00,D10,D20,D40,background
D00,0.097669256381798,0.0,0.004439511653718091,0.0,0.897891231964484
D10,0.0,0.11646586345381527,0.002008032128514056,0.0,0.8815261044176707
D20,0.012594458438287154,0.0,0.13602015113350127,0.0,0.8513853904282116
D40,0.011019283746556474,0.0027548209366391185,0.005509641873278237,0.01928374655647383,0.9614325068870524
background,0.4982905982905983,0.2948717948717949,0.0735042735042735,0.13333333333333333,0.0
