,D00,D10,D20,D40,background
D00,0.19311875693673697,0.003329633740288568,0.0,0.0,0.8035516093229744
D10,0.006024096385542169,0.22690763052208834,0.0,0.0,0.7670682730923695
D20,0.007556675062972292,0.0,0.43828715365239296,0.0025188916876574307,0.5516372795969773
D40,0.0027548209366391185,0.0,0.008264462809917356,0.21212121212121213,0.7768595041322314
background,0.30538922155688625,0.23952095808383234,0.2934131736526946,0.16167664670658682,0.0
